"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A181)", ,"D00A181[00100]", ,"D00A181[00300]","D00A181[00400]","D00A181[00500]","D00A181[00600]","D00A181[00700]"
"Line(03000)", ,"16498092", ,"16498092","114533","144","830","119562"
"Line(03101)", ,"4321432", ,"4321432","19615","220","81","17845"
"Line(03102)", ,"5810626", ,"5810626","34304","169"
"Line(03103)", ,"1328686", ,"1328686","6904","192","118","22709"
"Line(04300)", ,"609700", ,"609700","9701","63"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A182)", ,"D00A182[00100]","D00A182[00200]","D00A182[00300]","D00A182[00400]","D00A182[00500]"
"Line(05000)", ,"9405068","165133554","0","548887","31261"
"Line(05100)", ,"1745328","57569976","0","96072","2913"
"Line(05200)", ,"2702579","22299755","0","58639","7107"
"Line(05300)", ,"1391775","84642044","0","188684","3103"
"Line(05400)", ,"5375511","92031707","0","280649","16392"
"Line(05700)", ,"1042194","33288337","0","38025","1190"
"Line(05800)", ,"3609360","74884089","0","8840","426"
"Line(05900)", ,"2089357","27699110","0","67110","5062"
"Line(06000)", ,"5601275","308319982","0","1615378","29347"
"Line(06200)", ,"615461","27078110","0","134116","3048"
"Line(06500)", ,"1943287","91147049","0","330022","7036"
"Line(06600)", ,"1861529","38996365","0","51313","2449"
"Line(06800)", ,"237076","5601094","0","3698","157"
"Line(06900)", ,"1356737","72360872","0","98007","1838"
"Line(07000)", ,"938381","19970235","0","22764","1070"
"Line(07100)", ,"614069","46270522","0","171224","2272"
"Line(07200)", ,"317261","42970954","0","62458","461"
"Line(07300)", ,"3549642","436241128","0","2784251","22655"
"Line(07301)", ,"160316","3150436","0"
"Line(07400)", ,"499581","9020616","0","459079","25425"
"Line(07600)", ,"565703","8995035","0"
"Line(07601)", ,"951283","3985075","0"
"Line(07602)", ,"39980","2423871","0","50110","827"
"Line(07603)", ,"362233","5490346","0","1611","106"
"Line(07604)", ,"134257","10659711","0"
"Line(07605)", ,"1153243","15354544","0","9250","695"
"Line(09000)", ,"11552352","65271303","0","3733","661"
